series,outcome,model,origin,h,actual,pred,lo,hi,err,abs_err,ape,covered,mase_scale,scaled_err
Low income,DALY,ARIMA,2014,3,91900.33145101141,89901.65953009731,86402.82489634315,93400.49416385147,1998.671920914101,1998.671920914101,2.1748255848016362,1,1707.8783929830906,1.1702659446514172
Low income,DALY,ARIMA,2014,4,97482.08692846051,93997.31114341997,88875.54168194666,99119.08060489327,3484.775785040547,3484.775785040547,3.5747857835644514,1,1707.8783929830906,2.040412127325888
Low income,DALY,ARIMA,2014,5,103816.67533406155,98092.96275674262,91158.05412262584,105027.87139085941,5723.712577318933,5723.712577318933,5.513288264049255,1,1707.8783929830906,3.3513583875966293
Low income,DALY,ARIMA,2014,6,109874.53917555002,102188.61437006528,93268.30133389193,111108.92740623862,7685.924805484741,7685.924805484741,6.995182744934835,1,1707.8783929830906,4.5002763879810015
Low income,DALY,Naive,2014,1,81876.13440425383,77614.70469012935,73609.95002361415,81619.45935664455,4261.429714124475,4261.429714124475,5.20472753767803,0,1707.8783929830906,2.4951599198355026
Low income,DALY,Naive,2014,2,86558.57414685565,77614.70469012935,71951.1263267666,83278.2830534921,8943.869456726301,8943.869456726301,10.332736583151304,0,1707.8783929830906,5.23683038176059
Low income,DALY,Naive,2014,3,91900.33145101141,77614.70469012935,70678.26613587646,84551.14324438224,14285.626760882064,14285.626760882064,15.544695579794714,0,1707.8783929830906,8.364545637192508
Low income,DALY,Naive,2014,4,97482.08692846051,77614.70469012935,69605.19535709893,85624.21402315977,19867.382238331164,19867.382238331164,20.380546687425046,0,1707.8783929830906,11.63278505071401
Low income,DALY,Naive,2014,5,103816.67533406155,77614.70469012935,68659.80102259184,86569.60835766686,26201.970643932204,26201.970643932204,25.23869172232634,0,1707.8783929830906,15.341824541831782
Low income,DALY,Naive,2014,6,109874.53917555002,77614.70469012935,67805.09921213728,87424.31016812142,32259.834485420666,32259.834485420666,29.360609589340903,0,1707.8783929830906,18.888835773063185
Low income,DALY,Drift,2014,1,81876.13440425383,79282.40282417709,76869.99623500825,81694.80941334592,2593.731580076739,2593.731580076739,3.1678725417964815,0,1707.8783929830906,1.5186863366462293
Low income,DALY,Drift,2014,2,86558.57414685565,80950.10095822481,77470.87869641863,84429.32322003099,5608.473188630844,5608.473188630844,6.479396459460485,0,1707.8783929830906,3.283883215382052
Low income,DALY,Drift,2014,3,91900.33145101141,82617.79909227254,78275.46723176863,86960.13095277645,9282.53235873887,9282.53235873887,10.100651664882228,0,1707.8783929830906,5.435124887624698
Low income,DALY,Drift,2014,4,97482.08692846051,84285.49722632028,79179.39490942883,89391.59954321173,13196.589702140234,13196.589702140234,13.537450949141924,0,1707.8783929830906,7.726890717956926
Low income,DALY,Drift,2014,5,103816.67533406155,85953.195360368,80143.35093917233,91763.03978156367,17863.479973693553,17863.479973693553,17.206754036586513,0,1707.8783929830906,10.459456625885434
Low income,DALY,Drift,2014,6,109874.53917555002,87620.89349441574,81147.72734711581,94094.05964171566,22253.64568113428,22253.64568113428,20.253687385736317,0,1707.8783929830906,13.029994273927564
Low income,DALY,ETS,2015,1,86558.57414685565,86052.26388796423,84842.95924379722,87261.56853213125,506.3102588914189,506.3102588914189,0.584933686676043,1,1810.0204458287462,0.27972626500337505
Low income,DALY,ETS,2015,2,91900.33145101141,90174.30437347302,87784.2649452436,92564.34380170243,1726.0270775383979,1726.0270775383979,1.8781510907373358,1,1810.0204458287462,0.9535953483376864
